"id","bpm","loudness","chordchange","chordkey","songkey","keystrength"
"67d8d5c9-6627-4afe-ae37-2039fded00d8","135.939163208","0.970882475376","A major","0.0247731171548","A major","0.86724126339"
"49fa64ab-c150-403f-a7c7-e6cd013dc006","123.236579895","0.865181982517","C major","0.026139087975","C major","0.910506904125"
"a5d6c262-212e-4ff2-a1a6-1c3195c7b013","108.723587036","0.894454836845","F major","0.0482573732734","A# major","0.819617152214"
"473f8d54-5685-4122-a872-ab5da1eaecdf","142.476318359","0.936928153038","D major","0.0441506616771","G major","0.868081748486"
"249eff10-e40d-4d46-bcc1-fe9b7b7c3437","88.6873931885","0.76275151968","C# major","0.104271687567","C# minor","0.498057305813"
"3b227906-ee5a-4ae9-b457-16dffe1286b2","106.784637451","0.794704198837","D# major","0.101932898164","A# major","0.423289000988"
"d155c553-0ee4-4d8d-9629-e37f989baf5a","99.2563171387","0.932462096214","A major","0.0392008088529","A major","0.66960144043"
"972670b4-0a0f-4bf3-bf21-3ef094c5c97b","101.604705811","0.539230704308","C# major","0.0923920497298","F# minor","0.561511516571"
"f8d6b141-6917-4a15-8e8d-581839ec4356","147.976104736","0.909295618534","F minor","0.114634148777","G# major","0.376206338406"
"692a0e1e-0b76-47f1-b3f9-f70c15451979","136.990280151","0.958908319473","A major","0.0264339148998","A major","0.90039741993"
"074a1a5a-6f37-447a-93ec-401e036859a9","91.7759094238","0.978107094765","F minor","0.119367048144","F minor","0.53716635704"
"e16e5dce-9a99-45b4-8f8d-2fd31f0b7b51","97.893447876","0.921554267406","F minor","0.109501257539","F major","0.487923413515"
"5ad38675-c5d5-48cd-b501-23d1a74a357a","100.31086731","0.964542090893","D minor","0.0938558280468","A minor","0.52894961834"
"ba8e5ad8-59ce-4680-b3c6-af9992556137","114.736824036","0.89677208662","C# major","0.0981528908014","F minor","0.587735295296"
"46318bf0-de7f-4af1-a861-1ff9cf4dad30","126.631080627","0.782098412514","D minor","0.103815436363","D minor","0.647574543953"
"ee5834a2-059d-4371-8edf-3ffdbeb8d83a","125.021514893","0.9351760149","C# major","0.110746510327","A# minor","0.440888613462"
"9bcfee6b-f0f6-4c50-8409-adca80020c3b","95.6866912842","0.934190452099","A# major","0.0967606827617","A# major","0.488074839115"
"37ceefad-4163-4932-9de3-c82e9876eff0","89.3280944824","0.894839644432","E major","0.0383625738323","A major","0.799806714058"
"0942bd0c-c430-493c-bb80-8f366e5c99cd","125.352073669","0.931744813919","C major","0.038255751133","C major","0.808022558689"
"e7053620-9607-44d4-bb7d-1d410c019b30","127.19304657","0.947839200497","A major","0.0581798776984","A major","0.939525723457"
"571343fb-8a69-4631-b5b1-8074826a5a51","91.2107315063","0.871868729591","C# major","0.0794494077563","A# minor","0.529031634331"
"91aee019-e101-4971-bd80-faac5a437f83","172.265151978","0.961380362511","E major","0.098580121994","E major","0.467057496309"
