"artist","name","country","lifespan"
"0d9905e6-add6-4713-94ca-9f686f9b5e9b","Jake Bugg","GB","1994-02-28 undefined"
"76c9a186-75bd-436a-85c0-823e3efddb7f","Janis Joplin","US","1943-01-19 1970-10-04"
"39c2a93d-9afa-4a22-9bba-c087ab056e1c","Jefferson Airplane","US","1965 1973"
"4efa55ba-93cf-497f-baf3-2ca9da7e193e","Jet","AU","2001 undefined"
"ece57992-dc2e-4f67-a269-fa43626c1a3d","Jethro Tull","GB","1967-12 2011"
"06fb1c8b-566e-4cb2-985b-b467c90781d4","Jimi Hendrix","US","1942-11-27 1970-09-18"
"b0122194-c49a-46a1-ade7-84d1d76bd8e9","John Lee Hooker","US","1917-08-22 2001-06-21"
"d43d12a1-2dc9-4257-a2fd-0a3bb1081b86","Johnny Cash","US","1932-02-26 2003-09-12"
"9a58fda3-f4ed-4080-a3a5-f457aac9fcdd","Joy Division","GB","1978-01 1980-05"
"6b335658-22c8-485d-93de-0bc29a1d0349","Judas Priest","GB","1969 undefined"
"e1f1e33e-2e4c-4d43-b91b-7064068d3283","KISS","US","1973-01 undefined"
"aa262bd7-2217-4590-b2e3-38d148508916","Kadavar","DE","2010 undefined"
"90218af4-4d58-4821-8d41-2ee295ebbe21","Kaiser Chiefs","GB","2003 undefined"
"69b39eab-6577-46a4-a9f5-817839092033","Kasabian","GB","1997 undefined"
"ea0f2a37-7007-4217-a812-396227f5013a","Kyuss","US","1987 1996"
"678d88b2-87b0-403b-b63d-5da7465aecc3","Led Zeppelin","GB","1968 1980-09-25"
"9d1ebcfe-4c15-4d18-95d3-d919898638a1","Lou Reed","US","1942-03-02 2013-10-27"
"08b736bb-1c82-40b4-8b0b-49e2182a067a","MC5","US","1964 1972"
"c485632c-b784-4ee9-8ea1-c5fb365681fc","MGMT","US","2002-12 undefined"
"5dfdca28-9ddc-4853-933c-8bc97d87beec","Marilyn Manson","US","1989 undefined"
"e49f69da-17d5-4c5c-bac0-dadcb0e588f5","Mark Knopfler","GB","1949-08-12 undefined"
"bc5e2ad6-0a4a-4d90-b911-e9a7e6861727","Mastodon","US","1999 undefined"
"a9044915-8be3-4c7e-b11f-9e2d2ea0a91e","Megadeth","US","1983-06 undefined"
"9ccfbc94-a4f4-42f7-b6f5-d903ab77cccb","Melvins","US","1983 undefined"
"65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab","Metallica","US","1981-10-28 undefined"
"57961a97-3796-4bf7-9f02-a985a8979ae9","Motörhead","GB","1975-06 2015-12-28"
"9c9f1380-2516-4fc9-a3e6-f9f61941d090","Muse","GB","1994 undefined"
"26f07661-e115-471d-a930-206f5c89d17c","Mötley Crüe","US","1981-01-17 2015-12-31"
"75167b8b-44e4-407b-9d35-effe87b223cf","Neil Young","CA","1945-11-12 undefined"
"b7ffd2af-418f-4be2-bdd1-22f8b48613da","Nine Inch Nails","US","1988 undefined"
"5b11f4ce-a62d-471e-81fc-a69a8278c7da","Nirvana","US","1988-01 1994-04-05"
"8aa5b65a-5b3c-4029-92bf-47a544356934","Ozzy Osbourne","null","1948-12-03 undefined"
"e795e03d-b5d5-4a5f-834d-162cfb308a2c","PJ Harvey","GB","1969-10-09 undefined"
"541f16f5-ad7a-428e-af89-9fa1b16d3c9c","Pantera","US","1982 2003"
"44cf61b8-5197-448a-b82b-cef6ee89fac5","Paramore","US","2002 undefined"
"83b9cbe7-9857-49e2-ab8e-b57b01038103","Pearl Jam","US","1990 undefined"
"7db6aae5-6644-4513-9bfc-ca2e79d4469c","Peter Tosh","JM","1944-10-19 1987-09-11"
"83d91898-7763-47d7-b03b-b92132375c47","Pink Floyd","GB","1965 2014"
"b6b2bb8d-54a9-491f-9607-7b546023b433","Pixies","US","1986 undefined"
"847e8284-8582-4b0e-9c26-b042a4f49e57","Placebo","GB","1994 undefined"
"bf2e15d0-4b77-469e-bfb4-f8414415baca","Public Enemy","US","1982 undefined"
"0383dadf-2a4e-4d10-a46a-e9e041da8eb3","Queen","GB","1970-06-27 undefined"
"7dc8f5bd-9d0b-4087-9f73-dc164950bbd8","Queens of the Stone Age","US","1996 undefined"
"ea4dfa26-f633-4da6-a52a-f49ea4897b58","R.E.M.","US","1980 2011-09-21"
"a74b1b7f-71a5-4011-9441-d0b5e4122711","Radiohead","GB","1991 undefined"
"3798b104-01cb-484c-a3b0-56adc6399b80","Rage Against the Machine","US","1991-08 undefined"
"d6ed7887-a401-47a8-893c-34b967444d26","Ramones","US","1974-01 1996"
"fb2cc158-0ad2-4dc5-a6b6-b2a1a8e2fe65","Red Fang","US","2005 undefined"
"8bfac288-ccc5-448d-9573-c33ea2aa5c30","Red Hot Chili Peppers","US","1983 undefined"
"606bf117-494f-4864-891f-09d63ff6aa4b","Rise Against","US","1999 undefined"
"331ce348-1b08-40b9-8ed7-0763b92bd003","Roxy Music","GB","1971 undefined"
"aa62b28e-b6d4-4086-91d4-e5fac1ed56f3","Royal Blood","null","2013-01 undefined"
"5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0","Run‐D.M.C.","US","1982 2002-10-30"
"e5db18cb-4b1f-496d-a308-548b611090d3","Sex Pistols","GB","1975-10 1978-01-14"
"2f548675-008d-4332-876c-108b0c7ab9c5","Sia","AU","1975-12-18 undefined"
"5d02f264-e225-41ff-83f7-d9b1f0b1874a","Simon & Garfunkel","US","1963 undefined"
"ae002c5d-aac6-490b-a39a-30aa9e2edf2b","Skrillex","US","1988-01-15 undefined"
"5e7a7026-dfc5-4aba-8496-95140716f3db","Slash","US","1965-07-23 undefined"
"bdacc37b-8633-4bf8-9dd5-4662ee651aec","Slayer","US","1981 undefined"
"58c5cfc2-bd8d-441b-ac10-54bb2caa6463","Sleep Sleep","null","undefined undefined"
"486af4f0-a79b-468f-be73-527cd4caf6ea","Slick Rick","null","1965-01-14 undefined"
"b7ec4c54-1f93-4bf2-957f-7b9921ab84ea","Sly & The Family Stone","US","1967 1975"
"7771a68c-ef6a-400f-978d-64050d45a54c","Small Faces","GB","1965 1978"
"ba0d6274-db14-4ef5-b28d-657ebde1a396","The Smashing Pumpkins","US","1988 undefined"
"5cbef01b-cc35-4f52-af7b-d0df0c4f61b9","Sonic Youth","US","1981 2011"
"153c9281-268f-4cf3-8938-f5a4593e5df4","Soundgarden","US","1984 undefined"
"ad00c322-8c82-48a0-964c-6313f3471623","ザ・スパイダース","JP","1961 1971"
"7944ed53-2a58-4035-9b93-140a71e41c34","Sting","GB","1951-10-02 undefined"
"d2ff6b6b-fc30-48dc-8952-06f9d8fc64f8","Supertramp","GB","1969 undefined"
"cc0b7089-c08d-4c10-b6b0-873582c17fd6","System of a Down","US","1994 undefined"
"c842d29f-a297-48cd-bb71-4f77fd672b16","T. Rex","GB","1967 1977-09-16"
"a94a7155-c79d-4409-9fcf-220cb0e4dc3a","Talking Heads","US","1974 1991"
"72359492-22be-4ed9-aaa0-efa434fb2b01","The Allman Brothers Band","US","1969-03-26 undefined"
"4d8afa16-4018-4ca8-8b5e-ede8f9314562","The Animals","GB","1963 1983"
"ebfc1398-8d96-47e3-82c3-f782abcdb13d","The Beach Boys","US","1961 undefined"
"b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d","The Beatles","GB","1957-03 1970-04-10"
